station_id,station_name,station_type,geography,hall_count,active,latitude,longitude,source_orgunit_id
37,FI-FW-01,FRESHWATER,Faroe Islands,5,True,62.000000,-7.000000,
38,FI-FW-02,FRESHWATER,Faroe Islands,5,True,62.000000,-7.000000,
39,FI-FW-03,FRESHWATER,Faroe Islands,5,True,62.000000,-7.000000,
40,FI-FW-04,FRESHWATER,Faroe Islands,5,True,62.000000,-7.000000,
41,FI-FW-05,FRESHWATER,Faroe Islands,5,True,62.000000,-7.000000,
42,FI-FW-06,FRESHWATER,Faroe Islands,5,True,62.000000,-7.000000,
43,FI-FW-07,FRESHWATER,Faroe Islands,5,True,62.000000,-7.000000,
44,FI-FW-08,FRESHWATER,Faroe Islands,5,True,62.000000,-7.000000,
45,FI-FW-09,FRESHWATER,Faroe Islands,5,True,62.000000,-7.000000,
46,FI-FW-10,FRESHWATER,Faroe Islands,5,True,62.000000,-7.000000,
47,FI-FW-11,FRESHWATER,Faroe Islands,5,True,62.000000,-7.000000,
48,FI-FW-12,FRESHWATER,Faroe Islands,5,True,62.000000,-7.000000,
27,S-FW-01,FRESHWATER,Scotland,5,True,57.500000,-4.500000,
28,S-FW-02,FRESHWATER,Scotland,5,True,57.500000,-4.500000,
29,S-FW-03,FRESHWATER,Scotland,5,True,57.500000,-4.500000,
30,S-FW-04,FRESHWATER,Scotland,5,True,57.500000,-4.500000,
31,S-FW-05,FRESHWATER,Scotland,5,True,57.500000,-4.500000,
32,S-FW-06,FRESHWATER,Scotland,5,True,57.500000,-4.500000,
33,S-FW-07,FRESHWATER,Scotland,5,True,57.500000,-4.500000,
34,S-FW-08,FRESHWATER,Scotland,5,True,57.500000,-4.500000,
35,S-FW-09,FRESHWATER,Scotland,5,True,57.500000,-4.500000,
36,S-FW-10,FRESHWATER,Scotland,5,True,57.500000,-4.500000,
