area_id,area_name,geography,container_count,active,latitude,longitude,max_biomass_kg,source_orgunit_id
474,FI-SEA-01,Faroe Islands,20,True,61.500000,-6.500000,5000000.00,
475,FI-SEA-02,Faroe Islands,20,True,61.500000,-6.500000,5000000.00,
476,FI-SEA-03,Faroe Islands,20,True,61.500000,-6.500000,5000000.00,
477,FI-SEA-04,Faroe Islands,20,True,61.500000,-6.500000,5000000.00,
478,FI-SEA-05,Faroe Islands,20,True,61.500000,-6.500000,5000000.00,
479,FI-SEA-06,Faroe Islands,20,True,61.500000,-6.500000,5000000.00,
480,FI-SEA-07,Faroe Islands,20,True,61.500000,-6.500000,5000000.00,
481,FI-SEA-08,Faroe Islands,20,True,61.500000,-6.500000,5000000.00,
482,FI-SEA-09,Faroe Islands,20,True,61.500000,-6.500000,5000000.00,
483,FI-SEA-10,Faroe Islands,20,True,61.500000,-6.500000,5000000.00,
484,FI-SEA-11,Faroe Islands,20,True,61.500000,-6.500000,5000000.00,
485,FI-SEA-12,Faroe Islands,20,True,61.500000,-6.500000,5000000.00,
486,FI-SEA-13,Faroe Islands,20,True,61.500000,-6.500000,5000000.00,
487,FI-SEA-14,Faroe Islands,20,True,61.500000,-6.500000,5000000.00,
488,FI-SEA-15,Faroe Islands,20,True,61.500000,-6.500000,5000000.00,
489,FI-SEA-16,Faroe Islands,20,True,61.500000,-6.500000,5000000.00,
490,FI-SEA-17,Faroe Islands,20,True,61.500000,-6.500000,5000000.00,
491,FI-SEA-18,Faroe Islands,20,True,61.500000,-6.500000,5000000.00,
492,FI-SEA-19,Faroe Islands,20,True,61.500000,-6.500000,5000000.00,
493,FI-SEA-20,Faroe Islands,20,True,61.500000,-6.500000,5000000.00,
494,FI-SEA-21,Faroe Islands,20,True,61.500000,-6.500000,5000000.00,
495,FI-SEA-22,Faroe Islands,20,True,61.500000,-6.500000,5000000.00,
454,S-SEA-01,Scotland,20,True,57.000000,-5.000000,5000000.00,
455,S-SEA-02,Scotland,20,True,57.000000,-5.000000,5000000.00,
456,S-SEA-03,Scotland,20,True,57.000000,-5.000000,5000000.00,
457,S-SEA-04,Scotland,20,True,57.000000,-5.000000,5000000.00,
458,S-SEA-05,Scotland,20,True,57.000000,-5.000000,5000000.00,
459,S-SEA-06,Scotland,20,True,57.000000,-5.000000,5000000.00,
460,S-SEA-07,Scotland,20,True,57.000000,-5.000000,5000000.00,
461,S-SEA-08,Scotland,20,True,57.000000,-5.000000,5000000.00,
462,S-SEA-09,Scotland,20,True,57.000000,-5.000000,5000000.00,
463,S-SEA-10,Scotland,20,True,57.000000,-5.000000,5000000.00,
464,S-SEA-11,Scotland,20,True,57.000000,-5.000000,5000000.00,
465,S-SEA-12,Scotland,20,True,57.000000,-5.000000,5000000.00,
466,S-SEA-13,Scotland,20,True,57.000000,-5.000000,5000000.00,
467,S-SEA-14,Scotland,20,True,57.000000,-5.000000,5000000.00,
468,S-SEA-15,Scotland,20,True,57.000000,-5.000000,5000000.00,
469,S-SEA-16,Scotland,20,True,57.000000,-5.000000,5000000.00,
470,S-SEA-17,Scotland,20,True,57.000000,-5.000000,5000000.00,
471,S-SEA-18,Scotland,20,True,57.000000,-5.000000,5000000.00,
472,S-SEA-19,Scotland,20,True,57.000000,-5.000000,5000000.00,
473,S-SEA-20,Scotland,20,True,57.000000,-5.000000,5000000.00,
